# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1399
#@/user_id	dbd326d9-8c0c-4563-98a1-84f322e53644
a li 	阿里	c=1 d=0.798516 t=1399
a li yun 	阿里云	c=2 d=1.68786 t=1399
a li yun pan 	阿里云盘	c=4 d=3.04045 t=1399
an jian 	按键	c=11 d=8.81551 t=1399
an niu 	按钮	c=1 d=0.941765 t=1399
an zhao 	按照	c=1 d=0.865022 t=1399
an zhuang 	安装	c=38 d=15.1222 t=1399
an zhuang de 	安装的	c=1 d=0.995012 t=1399
ba 	把	c=1 d=0.852144 t=1399
ban ben 	版本	c=2 d=1.8149 t=1399
ban fa 	办法	c=2 d=1.54507 t=1399
bang ding 	绑定	c=1 d=0.970446 t=1399
bao 	包	c=1 d=0.900325 t=1399
bao mu ji 	保姆级	c=1 d=0.794534 t=1399
bei fen 	备份	c=11 d=7.5706 t=1399
ben 	本	c=1 d=0.946485 t=1399
ben chi 	奔驰	c=1 d=0.878095 t=1399
bi ji 	笔记	c=1 d=0.941765 t=1399
bi jiao 	比较	c=1 d=0.955997 t=1399
bi zhi 	壁纸	c=3 d=2.38955 t=1399
bian ji qi 	编辑器	c=1 d=0.927743 t=1399
bian liang 	变量	c=1 d=0.891366 t=1399
bian yi 	编译	c=1 d=0.995012 t=1399
bing 	并	c=2 d=1.68189 t=1399
bo fang 	播放	c=1 d=1 t=1399
bo fang qi 	播放器	c=2 d=1.91683 t=1399
bu cuo 	不错	c=2 d=1.87077 t=1399
bu qi 	不起	c=3 d=2.28158 t=1399
bu qi zuo yong 	不起作用	c=1 d=0.873716 t=1399
bu ran 	不然	c=1 d=0.882497 t=1399
bu shi 	不是	c=2 d=1.9316 t=1399
bu tui jian 	不推荐	c=1 d=1 t=1399
bu zhi dao 	不知道	c=2 d=1.44998 t=1399
bu zhou 	步骤	c=1 d=0.882497 t=1399
can kao 	参考	c=9 d=4.86157 t=1399
can shu 	参数	c=2 d=1.87114 t=1399
cang ku 	仓库	c=2 d=1.72296 t=1399
ce shi 	测试	c=1 d=0.97531 t=1399
ce su 	测速	c=2 d=1.8606 t=1399
cha dao 	查到	c=1 d=1 t=1399
cha kan 	查看	c=3 d=2.69092 t=1399
cha kan qi 	查看器	c=1 d=0.97531 t=1399
cha xun 	查询	c=1 d=0.97531 t=1399
chang shi 	尝试	c=1 d=0.980199 t=1399
chang yong 	常用	c=1 d=0.985112 t=1399
chu lai 	出来	c=3 d=2.49917 t=1399
chu xian 	出现	c=1 d=0.946485 t=1399
chuang jian 	创建	c=6 d=3.73275 t=1399
chuang kou 	窗口	c=1 d=0.946485 t=1399
da bu kai 	打不开	c=1 d=0.970446 t=1399
da kai 	打开	c=4 d=3.11087 t=1399
da xiao 	大小	c=1 d=0.904837 t=1399
dai 	代	c=1 d=0.913931 t=1399
dai ma 	代码	c=1 d=0.97531 t=1399
dan shi 	但是	c=1 d=0.965605 t=1399
dang qian 	当前	c=1 d=0.909373 t=1399
dao 	到	c=4 d=2.91622 t=1399
de 	的	c=120 d=23.7972 t=1399
deng lu 	登录	c=3 d=1.99099 t=1399
di er ji 	第二季	c=1 d=0.909373 t=1399
dian ying 	电影	c=1 d=0.985112 t=1399
dian zi yan 	电子烟	c=2 d=1.90727 t=1399
dou you 	都有	c=1 d=0.744532 t=1399
duan kou 	端口	c=1 d=0.99005 t=1399
dui ying 	对应	c=2 d=1.76683 t=1399
